ruc,razon_social,tipo_empresa,estado_sunat,condicion_sunat,departamento,provincia,distrito,telefono,email,codigo_registro,fecha_consulta
20175089111,COOP. AG. SOCIEDAD AGRICOLA DE INTERES SOCIAL JOSE CARLOS MARIATEGUI LTDA.N°16 SUNCHUBAMBA Y ANEXOS,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,CAJAMARCA,CAJAMARCA,COSPAN,076607101,JCMRODRIGUEZ@GMAIL.COM,S0170876,2026-09-20T01:43:21.108Z
20183732031,ASOCIACION DE PRODUCTORES DE ROCOTO Y PRODUCTOS AGRICOLAS DE OXAPAMPA,ASOCIACION,BAJA DE OFICIO,HABIDO,PASCO,OXAPAMPA,OXAPAMPA,,,,2026-09-20T01:43:21.108Z
20200880448,COOPERATIVA AGRARIA CAFETALERA JORGE CHAVEZ LTDA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,CUSCO,CALCA,YANATILE,,,,2026-09-20T01:43:21.108Z
20204028061,COOPERATIVA COMUNAL SAN PEDRO DE CAJAS,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,JUNIN,TARMA,SAN PEDRO DE CAJAS,,,,2026-09-20T01:43:21.108Z
20287980672,COMUNIDAD NATIVA TRES ISLAS,"COMUNIDAD CAMPESINA, NATIVA",ACTIVO,HABIDO,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,,,,2026-09-20T01:43:21.108Z
20323699365,INVERSIONES PERUALP S.A.,SOCIEDAD ANONIMA,ACTIVO,HABIDO,PASCO,OXAPAMPA,CHONTABAMBA,063462465,jduarte@floralpperu.com,B0014648,2026-09-20T01:43:21.108Z
20326767400,ASOC.C.DE ACOPIO D.LECHE SR.D.L.MILAGROS,ASOCIACION,ACTIVO,HABIDO,AREQUIPA,CAYLLOMA,LLUTA,958996698,calmilagroscontabilidad@hotmail.com,S2943858,2026-09-20T01:43:21.108Z
20327993705,CENTRO DE ACOPIO DE LECHE LUIS PASTEUR,ASOCIACION,ACTIVO,HABIDO,AREQUIPA,CAYLLOMA,MAJES,,,,2026-09-20T01:43:21.108Z
20352266052,ASOCIACION DE PRODUCTORES DE PALMITO DE AGUAYTIA,ASOCIACION,BAJA DE OFICIO,NO HABIDO,UCAYALI,PADRE ABAD,PADRE ABAD,,,,2026-09-20T01:43:21.108Z
20352417018,COOPERATIVA AGRARIA DE CACAOTEROS TECNIFICADOS DE PADRE ABAD,"COOPERATIVAS, SAIS, CAPS",SUSPENSION TEMPORAL,HABIDO,UCAYALI,PADRE ABAD,IRAZOLA,576387,,S0374689,2026-09-20T01:43:21.108Z
20352423921,COOPERATIVA AGRARIA CAFETALERA DIVISORIA LTDA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,HUANUCO,LEONCIO PRADO,LUYANDO,947595969,gerencia@cacdivisoria.com,S0596909,2026-09-20T01:43:21.108Z
20365575674,COMUNIDAD CAMPESINA SAN ANTONIO DE RANCAS,"COMUNIDAD CAMPESINA, NATIVA",ACTIVO,HABIDO,PASCO,PASCO,SIMON BOLIVAR,,,S2209855,2026-09-20T01:43:21.108Z
20393152207,COOPERATIVA AGRO INDUSTRIAL APCTVASH,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,UCAYALI,PADRE ABAD,PADRE ABAD,061-794794,,S0490351,2026-09-20T01:43:21.108Z
20393335620,ASOCIACIÓN DE PRODUCTORES ECOLÓGICOS DEL CASERÍO SAN CRISTÓBAL DE AGUA BLANCA,ASOCIACION,BAJA DE OFICIO,HABIDO,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,,,,2026-09-20T01:43:21.108Z
20393415062,ASOCIACION AGROINDUSTRIAS PROGRESO,ASOCIACION,ACTIVO,HABIDO,UCAYALI,PADRE ABAD,PADRE ABAD,981676442,FVARASCOMITIVOS@MAIL.COM,B0788802,2026-09-20T01:43:21.108Z
20393449471,CENTRO UNICO DE AGRICULTORES PLATANEROS DE LA PROVINCIA DE PADRE ABAD,ASOCIACION,BAJA DE OFICIO,HABIDO,UCAYALI,PADRE ABAD,PADRE ABAD,061-961956251,,S0433032,2026-09-20T01:43:21.108Z
20393576660,ASOCIACION DE PRODUCTORES ECOLOGICOS EL PIMENTAL,ASOCIACION,ACTIVO,HABIDO,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,,,,2026-09-20T01:43:21.108Z
20393593670,COMITE CENTRAL CON DESARROLLO AL FUTURO DE CURIMANA,ASOCIACION,BAJA DE OFICIO,NO HABIDO,UCAYALI,PADRE ABAD,CURIMANA,,,,2026-09-20T01:43:21.108Z
20393692228,COOPERATIVA AGRARIA CACAOTERA SAN ALEJANDRO LTDA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,UCAYALI,PADRE ABAD,IRAZOLA,,,,2026-09-20T01:43:21.108Z
20393757290,ASOCIACION DE AGRICULTORES DEL CENTRO POBLADO SAN JOSE DE YARINACOCHA,ASOCIACION,BAJA DE OFICIO,HABIDO,UCAYALI,CORONEL PORTILLO,YARINACOCHA,,,,2026-09-20T01:43:21.108Z
20393786044,COOPERATIVA AGRARIA CAFETALERA COORDILLERA AZUL DE UCAYALI LTDA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,UCAYALI,PADRE ABAD,PADRE ABAD,,,,2026-09-20T01:43:21.108Z
20393816211,COOPERATIVA AGRARIA SAN JUAN BAUTISTA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,UCAYALI,PADRE ABAD,IRAZOLA,,,,2026-09-20T01:43:21.108Z
20393882868,COOPERATIVA AGRARIA ASCAH,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,UCAYALI,PADRE ABAD,PADRE ABAD,,,,2026-09-20T01:43:21.108Z
20393972000,ASOCIACION DE MUJERES EMPRENDEDORAS FLOR DE BOQUERON,ASOCIACION,ACTIVO,HABIDO,UCAYALI,PADRE ABAD,BOQUERON,937440761,godoyyanac@gmail.com,S1555602,2026-09-20T01:43:21.108Z
20393981173,ASOCIACION DE PRODUCTORES AGRARIOS SANTA ELENA,ASOCIACION,ACTIVO,HABIDO,UCAYALI,CORONEL PORTILLO,CALLERIA,,,S0846945,2026-09-20T01:43:21.108Z
20402648504,COOPERATIVA AGRARIA KIVINAKI,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,JUNIN,CHANCHAMAYO,PERENE,,,S0750480,2026-09-20T01:43:21.108Z
20404057805,COOPERATIVA AGRARIA ACOPAGRO LTDA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,SAN MARTIN,MARISCAL CACERES,JUANJUI,042545190,contabilidad@acopagro.com.pe,S0631562,2026-09-20T01:42:58.155Z
20406542671,SOCIEDAD PERUANA DE CRIADORES DE ALPACAS Y LLAMAS DE MACUSANI,ASOCIACION,ACTIVO,HABIDO,PUNO,CARABAYA,MACUSANI,,,S1746405,2026-09-20T01:43:21.108Z
20407808666,COOPERATIVA AGRARIA PURIFOR - COOP PURIFOR,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,ANCASH,BOLOGNESI,COLQUIOC,985747811,COOPPURIFOR@GMAIL.COM,S2073812,2026-09-20T01:43:21.108Z
20447686407,ASOCIACION DE PRODUCTORES DE PIÑA DEL VALLE DE SAN GABAN,ASOCIACION,ACTIVO,HABIDO,PUNO,CARABAYA,SAN GABAN,,,,2026-09-20T01:43:21.108Z
20447688281,SOCIEDAD PERUANA DE CRIADORES DE ALPACAS Y LLAMAS DE PARATIA,ASOCIACION,ACTIVO,HABIDO,PUNO,LAMPA,PARATIA,332522,CONTABLECIA@OUTLOOK.COM,S0737671,2026-09-20T01:43:21.108Z
20447888701,COOPERATIVA AGRARIA INDUSTRIAL SAN GABAN LTDA.,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,PUNO,CARABAYA,SAN GABAN,051331522,anibal_bk3@hotmail.com,S0657969,2026-09-20T01:43:21.108Z
20448031358,ASOCIACION DE PRODUCTORES DE PAPAYA ANDINA ORGÁNICA DE LA PROVINCIA DE SANDIA,ASOCIACION,BAJA DE OFICIO,NO HABIDO,PUNO,SANDIA,SANDIA,,,S2194874,2026-09-20T01:43:21.108Z
20448277781,COOPERATIVA AGRARIA INDUSTRIALIZADA CABANA LTDA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,PUNO,SAN ROMAN,CABANA,980278888,coopain.tesoreria@gmail.com,S1070803,2026-09-20T01:43:21.108Z
20448748902,INDUSTRIAS AGROALIMENTOS EL ESTABLO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,SOC.COM.RESPONS. LTDA,ACTIVO,HABIDO,PUNO,LAMPA,LAMPA,,,,2026-09-20T01:43:21.108Z
20448766471,COOPERATIVA DE SERVICIOS SAN SANTIAGO - ACORA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,PUNO,PUNO,ACORA,,,,2026-09-20T01:43:21.108Z
20448791310,COOPERATIVA AGROINDUSTRIAL DE PRODUCTORES AGROPECUARIOS CABANA LIMITADA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,PUNO,SAN ROMAN,CABANA,,,,2026-09-20T01:43:21.108Z
20448807500,CONSORCIO ALPAQUERO PERU EXPORT,CONTRATOS COLABORACION EMPRESARIAL,SUSPENSION TEMPORAL,HABIDO,PUNO,SAN ROMAN,JULIACA,,,,2026-09-20T01:43:21.108Z
20448843051,ASOCIACION DE PRODUCTORES AGROPECUARIOS PIEDRA BLANCA DE CHALLAPAMPA,ASOCIACION,ACTIVO,HABIDO,PUNO,YUNGUYO,COPANI,,,,2026-09-20T01:43:21.108Z
20449558902,ASOCIACION CIVIL DE MANTENIMIENTO VIAL Y DESARROLLO AGROPECUARIO CALVARIO,ASOCIACION,ACTIVO,HABIDO,AYACUCHO,LA MAR,SAN MIGUEL,966630480,gpg1956@hotmail.com,S0125910,2026-09-20T01:43:21.108Z
20450105113,COOPERATIVA AGRARIA DEL PALMITO APROPAL,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,SAN MARTIN,LAMAS,CAYNARACHI,,,,2026-09-20T01:43:21.108Z
20450189201,COOPERATIVA DE SERVICIOS MULTIPLES FRUTOS DE SELVA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,,,,2026-09-20T01:43:21.108Z
20450207544,COOPERATIVA AGRARIA UCHIZA LTDA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,SAN MARTIN,TOCACHE,UCHIZA,,,,2026-09-20T01:43:21.108Z
20450242021,"""COOPERATIVA DE SERVICIOS MULTIPLES CAPEMA""","COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,,,,2026-09-20T01:43:21.108Z
20450319423,COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES CAFE DONCEL,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,SAN MARTIN,MOYOBAMBA,SORITOR,,,,2026-09-20T01:43:21.108Z
20450638791,ASOCIACION DE CASTAÑEROS DE LA RESERVA DE TAMBOPATA LOS PIONEROS - ASCART,ASOCIACION,ACTIVO,HABIDO,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,,,,2026-09-20T01:43:21.108Z
20452774705,COOPERATIVA AGRARIA CACAO VRAE,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,CUSCO,LA CONVENCION,KIMBIRI,921060381,COOPERATIVACACAOVRAE@GMAIL.COM,S0645093,2026-09-20T01:43:21.108Z
20454319169,ASOCIACION LA JOYA AGRO EXPORT,ASOCIACION,ACTIVO,HABIDO,AREQUIPA,AREQUIPA,JACOBO HUNTER,,,,2026-09-20T01:43:21.108Z
20454864604,ASOCIACION DE PRODUCTORES AGROINDUSTRIALES SIGUAS MAJES - PRASIMEX,ASOCIACION,ACTIVO,HABIDO,AREQUIPA,CAYLLOMA,MAJES,,,,2026-09-20T01:43:21.108Z
20455129321,ASOCIACIÓN DE CRIADORES DE ALPACAS DEL DISTRITO DE SIBAYO ASCADIS,ASOCIACION,BAJA PROV. POR OFICIO,NO HABIDO,AREQUIPA,CAYLLOMA,SIBAYO,,,S1663828,2026-09-20T01:43:21.108Z
20455429120,ASOCIACION DE PRODUCTORES AGROPECUARIOS DE AGROEXPORTACION E-4 IRRIGACION  MAJES-AREQUIPA,ASOCIACION,BAJA PROV. POR OFICIO,HABIDO,AREQUIPA,CAYLLOMA,MAJES,,,,2026-09-20T01:43:21.108Z
20479595276,COOPERATIVA AGRARIA CAFETALERA CASIL LTDA.,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,,,,2026-09-20T01:43:21.108Z
20479622699,COOPERATIVA AGRARIA JUAN MARCO EL PALTO,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,AMAZONAS,UTCUBAMBA,LONYA GRANDE,,,,2026-09-20T01:43:21.108Z
20479728501,ASOCIACION AGROPECUARIA DE MOLINOPAMPA,ASOCIACION,ACTIVO,HABIDO,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,041-478026,JULY_1@HOTMAIL.COM,S0003285,2026-09-20T01:43:21.108Z
20479856258,ASOCIACION DE PRODUCTORES AGROPECUARIOS LUIS SOLIBARRIA,ASOCIACION,BAJA DE OFICIO,HABIDO,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,941922277,vmcampos_2@hotmail.com,B0003863,2026-09-20T01:43:21.108Z
20479917141,COOPERATIVA AGRARIA CENTRAL DE PRODUCTORES DE AMAZONAS,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,AMAZONAS,UTCUBAMBA,CAJARURO,,,,2026-09-20T01:43:21.108Z
20480118295,ASOCIACION DE PRODUCTORES AGROPECUARIOS SANTO TOMAS,ASOCIACION,ACTIVO,HABIDO,AMAZONAS,LUYA,SANTO TOMAS,945205853,marbelith_yo@hotmail.com,S1580111,2026-09-20T01:43:21.108Z
20480458550,COOPERATIVA AGRARIA APROCAM,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,AMAZONAS,BAGUA,BAGUA,943 813 290,CERTIFICACIONES.APROCAM@GMAIL.COM,S1846386,2026-09-20T01:43:21.108Z
20480762895,ASOCIACION DE PRODUCTORES AGROPECUARIOS LA FLOR DE CAFE,ASOCIACION,BAJA DE OFICIO,HABIDO,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,,,,2026-09-20T01:43:21.108Z
20481402540,ASOCIACION DE APICULTORES NECTAR DE VIDA DEL VALLE CHICAMA,ASOCIACION,BAJA DE OFICIO,HABIDO,LA LIBERTAD,ASCOPE,PAIJAN,,,,2026-09-20T01:43:21.108Z
20481929122,ASOCIACION DE PEQUEÑOS PRODUCTORES AGROPECUARIOS PERLA DEL PARAISO,ASOCIACION,ACTIVO,HABIDO,LA LIBERTAD,OTUZCO,AGALLPAMPA,987771691,ab-luis@hotmail.com,S0867961,2026-09-20T01:43:21.108Z
20482423320,ASOCIACION DE PRODUCTORES AGROINDUSTRIALES SANTA ROSA,ASOCIACION,BAJA DE OFICIO,HABIDO,LA LIBERTAD,OTUZCO,OTUZCO,949704968,apasanta_rosacaupar@yahoo.com,S0863797,2026-09-20T01:43:21.108Z
20482572163,COOPERATIVA AGRARIA DE PRODUCTORES LA VICTORIA CACHICADAN - COAPROLAVIC,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,LA LIBERTAD,SANTIAGO DE CHUCO,CACHICADAN,,,,2026-09-20T01:43:21.108Z
20484163902,COOPERATIVA AGRARIA APPROCAP LTDA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,PIURA,MORROPON,SAN JUAN DE BIGOTE,,,,2026-09-20T01:43:21.108Z
20485945815,COOPERATIVA AGRARIA CAFETALERA ECOLOGICO ALTO PALOMAR,"COOPERATIVAS, SAIS, CAPS",SUSPENSION TEMPORAL,HABIDO,JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,,,,2026-09-20T01:43:21.108Z
20486049198,COOPERATIVA AGROPECUARIA DE SERVICIOS VALLE DEL CUNAS LIMITADA (CAS VALLE DEL CUNAS LTDA),"COOPERATIVAS, SAIS, CAPS",SUSPENSION TEMPORAL,HABIDO,JUNIN,CONCEPCION,SAN JOSE DE QUERO,,,,2026-09-20T01:43:21.108Z
20486073145,ASOCIACION AGRO GANADERO ECOLOGICO DEL ALTO CACAZU - VILLA RICA,ASOCIACION,BAJA DE OFICIO,HABIDO,PASCO,OXAPAMPA,VILLA RICA,,,,2026-09-20T01:43:21.108Z
20486094657,ASOCIACION DE PRODUCTORES DE CAFES ESPECIALES MOUNTAIN COFFE,ASOCIACION,ACTIVO,NO HABIDO,JUNIN,CHANCHAMAYO,PICHANAQUI,,,,2026-09-20T01:43:21.108Z
20486217830,COMUNIDAD CAMPESINA DE SANTA BARBARA,"COMUNIDAD CAMPESINA, NATIVA",ACTIVO,HABIDO,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,954474824,chahuayo_d@hotmail.com,S0831285,2026-09-20T01:43:21.108Z
20486255090,COOPERATIVA AGRARIA SANGARENI,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,JUNIN,SATIPO,PANGOA,,,,2026-09-20T01:43:21.108Z
20486668335,COOPERATIVA AGROINDUSTRIAL SONOMORO LTDA,"COOPERATIVAS, SAIS, CAPS",SUSPENSION TEMPORAL,HABIDO,JUNIN,SATIPO,PANGOA,964557158,CAISONOMORO1@HOTMail.com,S1522292,2026-09-20T01:43:21.108Z
20486876019,COOPERATIVA AGROECOLOGICO INDUSTRIAL MAZAMARI LTDA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,JUNIN,SATIPO,MAZAMARI,,,,2026-09-20T01:43:21.108Z
20486973219,COOPERATIVA AGRARIA SONOMORO DEL VRAEM LTDA,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,JUNIN,SATIPO,PANGOA,,,S3021823,2026-09-20T01:43:21.108Z
20487226875,ORGANIZACION CENTRAL DE PRODUCTORES DE GRANADILLAS ESPECIALES DE LA PROVINCIA DE OXAPAMPA-PASCO,ASOCIACION,ACTIVO,HABIDO,PASCO,OXAPAMPA,OXAPAMPA,462339,dapaucar@hotmail.com,S0776139,2026-09-20T01:43:21.108Z
20487242994,COOPERATIVA AGRARIA ECOLOGICA CACAOTERA VALLE RIO ENE - COOPAVRE,"COOPERATIVAS, SAIS, CAPS",ACTIVO,HABIDO,JUNIN,SATIPO,SATIPO,064-545681,COOPAVRE2010@YAHOO.COM.PE,S0644488,2026-09-20T01:43:21.108Z
20487351343,ASOCIACION DE PRODUCTORES AGROPECUARIOS TUPAC AMARU DE CHIÑAMA,ASOCIACION,BAJA DE OFICIO,HABIDO,LAMBAYEQUE,CHICLAYO,CHICLAYO,,,,2026-09-20T01:43:21.108Z
20487558363,ASOCIACION DE PRODUCTORES DE BAMBU RIO MARAÑON,ASOCIACION,ACTIVO,HABIDO,AMAZONAS,BAGUA,ARAMANGO,,,S2958164,2026-09-20T01:43:21.108Z
20487589242,ASOCIACION PRODUCTORES AGROPECUARIOS CERRO NEGRO,ASOCIACION,BAJA DE OFICIO,HABIDO,LAMBAYEQUE,FERREÑAFE,INCAHUASI,942874476,carmela_1969@hotmail.com,S1445116,2026-09-20T01:43:21.108Z
20487661539,ASOCIACION DE PRODUCTORES CACAOTEROS DEL DISTRITO DE HUARANGO,ASOCIACION,ACTIVO,HABIDO,CAJAMARCA,SAN IGNACIO,HUARANGO,,,,2026-09-20T01:43:21.108Z
20489293898,COMUNIDAD CAMPESINA DE CHINCHE TINGO,"COMUNIDAD CAMPESINA, NATIVA",ACTIVO,HABIDO,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,985181478,aldoem_cpc23300@hotmail.com,S0375912,2026-09-20T01:43:21.108Z
20489969221,ASOCIACION FORESTAL INDIGENA MADRE DE DIOS - AFIMAD,ASOCIACION,ACTIVO,HABIDO,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,,,,2026-09-20T01:43:21.108Z
20490195301,ASOCIACION DE MUJERES PRODUCTORAS SANTO DOMINGO TALLARIN DE CASA,ASOCIACION,ACTIVO,HABIDO,APURIMAC,ABANCAY,ABANCAY,083-983677041,edibarajase@hotmail.com,S0563781,2026-09-20T01:43:21.108Z
20490264397,ASOCIACION DE PRODUCTORES FRUTICOLAS Y PALTOS DEL VALLE DE LIMATAMBO,ASOCIACION,ACTIVO,HABIDO,CUSCO,ANTA,LIMATAMBO,,,,2026-09-20T01:43:21.108Z
20490395653,ASOCIACION DE PRODUCTORES AGROPECUARIOS LA VICTORIA OSCCOLLO COCHARCAS,ASOCIACION,ACTIVO,HABIDO,APURIMAC,CHINCHEROS,COCHARCAS,,,,2026-09-20T01:43:21.108Z
